key_word,stb_num,cdsn_iuc,pcb_num
S040006732,S0400067325,7030203093,308473008871
S041400465,S0414004652,7042585573,308953036166
S040977392,S0409773923,7036343833,308781016256
S041689197,S0416891974,7034124517,309135033248
S040342055,S0403420557,7030326520,308556084613
S040982895,S0409828957,7036711289,308781021490
S041076260,S0410762609,7037857587,308854035099
S041430187,S0414301878,7033638026,308966020552
S041732044,S0417320440,7034082364,309134024101
S040520420,S0405204207,7030816589,308619032898
S041065182,S0410651823,7038078310,308854022255
S041753756,S0417537562,7034205583,309134042809
S041875317,S0418753170,7036197996,309198019724
S041957099,S0419570990,7035900246,309235015525
S040649537,S0406495370,7034217815,308721011166
S040234767,S0402347678,7030125498,308543007290
S040183538,S0401835385,7030168382,308513039967
S041310315,S0413103150,7033800346,308937028385
S041598933,S0415989334,7036459036,309100028512
S041450029,S0414500293,7033765683,308966036483
S041306303,S0413063035,7033784655,308937029996
S041087930,S0410879301,7033637463,308854044676
S041967530,S0419675300,7035869173,309235023022
S040676378,S0406763781,7034369661,308721045872
S040490820,S0404908200,7031031166,308557022340
S041542762,S0415427620,7033936293,309035021875
S040194187,S0401941878,7030263158,308513053640
S041134763,S0411347630,7033539408,308853046804
S040016656,S0400166560,7030330844,308473004881
S040726559,S0407265599,7034207733,308723043835
S041209989,S0412099893,7038101150,308896031182
S041378367,S0413783674,7042568366,308953008164
S040917886,S0409178863,7037823409,308781008022
S041106878,S0411068781,7034498381,308853019647
S040698204,S0406982041,7033636553,308723020828
S041229650,S0412296508,7037953473,308896050254
S041358341,S0413583411,7038024244,308936046325
S041113693,S0411136930,7033566143,308853028004
S040724434,S0407244346,7034202539,308723035017
S041108904,S0411089045,7034478247,308853026730
S041634695,S0416346950,7036425671,309097025212
S041069818,S0410698188,7034007374,308854034328
S041383704,S0413837049,7042576768,308953007288
S040663975,S0406639754,7033954069,308721026390
S041208285,S0412082850,7034550743,308896026016
S041819933,S0418199334,7035582673,309197026471
S040272300,S0402723009,7030577191,308556004756
S041721040,S0417210407,7043476835,309134011970
S040370232,S0403702323,7031016234,308557011471
S041230147,S0412301471,7038053977,308936003852
S041578544,S0415785445,7043484099,309100021037
S040550769,S0405507692,7036560796,308647018901
S041691245,S0416912459,7034123859,309135031972
S041793566,S0417935665,7034697192,309173007270
S041762214,S0417622144,7034593431,309135046272
S041105129,S0411051293,7034261146,308853021778
S041316547,S0413165474,7038038979,308937047004
S040687793,S0406877930,7033970765,308723001183
S041371456,S0413714567,7042587415,308953001507
S040663908,S0406639088,7033973359,308721027143
S041264408,S0412644085,7038005456,308894035358
S041180884,S0411808840,7034288212,308896004525
S041491001,S0414910017,7033904017,309036032099
S040508722,S0405087227,7030585765,308619024954
S041206849,S0412068491,7034531011,308896025922
S040294458,S0402944587,7030566945,308556029024
S041298418,S0412984188,7033768304,308937028814
S041420841,S0414208410,7034074626,308966021079
S040601898,S0406018989,7030393226,308646022594
S040289319,S0402893192,7030435751,308556007907
S040557933,S0405579332,7036610206,308647026037
S041469689,S0414696899,7033877279,309036016611
S041278408,S0412784081,7043321642,308937014628
S041828123,S0418281235,7034641225,309197032040
S040169719,S0401697195,7030294018,308513029524
S041240567,S0412405676,7037927679,308894014671
S040026144,S0400261440,7030327719,308473037974
S040007730,S0400077304,7030193532,308473003284
S041236276,S0412362764,7037933034,308894010109
S041065673,S0410656736,7038349142,308854024756
